sensor-id,temp [¡C],revC_raw_tmp,revC_raw_rv,tsi_value [m/s]
11,24.7,1.558,1.478,0.9555
11,24.7,1.56,1.472,0.9726
11,24.7,1.561,1.474,0.9677
11,24.7,1.563,1.472,0.9677
11,24.7,1.559,1.471,0.9653
11,24.7,1.555,1.472,0.9775
11,24.7,1.563,1.475,0.9775
11,24.7,1.562,1.457,0.9629
11,24.7,1.559,1.459,0.958
11,24.7,1.558,1.457,0.958
11,24.7,1.564,1.465,0.958
11,24.7,1.561,1.471,0.9457
11,24.7,1.559,1.472,0.9457
11,24.7,1.563,1.47,0.9409
11,24.7,1.554,1.467,0.9506
11,24.7,1.563,1.476,0.9506
11,24.7,1.559,1.47,0.9506
11,24.7,1.559,1.474,0.9482
11,24.7,1.563,1.472,0.9482
11,24.7,1.565,1.475,0.9482
11,24.7,1.561,1.477,0.9555
11,24.7,1.558,1.481,0.9873
11,24.7,1.565,1.477,0.9873
11,24.7,1.563,1.472,0.9824
11,24.7,1.562,1.481,0.9873
11,24.7,1.561,1.485,0.9873
11,24.7,1.562,1.475,1.002
11,24.7,1.561,1.477,0.9971
11,24.7,1.566,1.476,0.9971
11,24.7,1.563,1.475,1.0068
11,24.7,1.561,1.477,1.0166
11,24.7,1.566,1.472,1.0166
11,24.7,1.562,1.475,0.9946
11,24.7,1.566,1.479,0.9848
11,24.7,1.561,1.473,0.9848
11,24.7,1.566,1.475,0.9873
11,24.7,1.563,1.473,0.9995
11,24.7,1.559,1.472,0.9995
11,24.7,1.559,1.472,0.9995
11,24.7,1.561,1.492,1.0264
11,24.7,1.563,1.489,1.0264
11,24.7,1.561,1.493,1.0362
11,24.7,1.561,1.502,1.0459
11,24.7,1.561,1.495,1.0508
11,24.7,1.562,1.489,1.0508
11,24.7,1.564,1.484,1.0484
11,24.7,1.563,1.488,1.0533
11,24.7,1.559,1.488,1.0533
11,24.7,1.563,1.488,1.0606
11,24.7,1.565,1.489,1.0753
11,24.7,1.563,1.488,1.0753
11,24.7,1.557,1.491,1.0753
11,24.7,1.562,1.491,1.085
11,24.7,1.568,1.492,1.085
11,24.7,1.557,1.499,1.1241
11,24.7,1.562,1.487,1.1608
11,24.7,1.567,1.487,1.1608
11,24.7,1.565,1.482,1.1584
11,24.7,1.566,1.49,1.1339
11,24.7,1.563,1.484,1.1339
11,24.7,1.562,1.483,1.0899
11,24.7,1.566,1.479,1.0704
11,24.7,1.563,1.477,1.0704
11,24.7,1.561,1.477,1.0704
11,24.7,1.561,1.498,1.0924
11,24.7,1.565,1.501,1.0826
11,24.7,1.559,1.497,1.0826
11,24.7,1.557,1.498,1.0802
11,24.7,1.562,1.489,1.1022
11,24.7,1.556,1.491,1.1022
11,24.7,1.559,1.483,1.1022
11,24.7,1.563,1.489,1.1144
11,24.7,1.562,1.483,1.1144
11,24.7,1.565,1.488,1.107
11,24.7,1.563,1.488,1.1119
11,24.7,1.562,1.485,1.1119
11,24.7,1.559,1.488,1.1241
11,24.7,1.563,1.483,1.1119
11,24.7,1.562,1.485,1.1119
11,24.7,1.557,1.491,1.1095
11,24.7,1.562,1.488,1.1022
11,24.7,1.564,1.483,1.1022
11,24.7,1.563,1.488,1.0924
11,24.7,1.565,1.488,1.0899
11,24.7,1.562,1.488,1.0704
11,24.7,1.559,1.487,1.0704
11,24.7,1.554,1.488,1.0948
11,24.7,1.559,1.488,1.0948
11,24.7,1.563,1.499,1.1022
11,24.7,1.561,1.506,1.0997
11,24.7,1.561,1.497,1.1241
11,24.7,1.566,1.502,1.1241
11,24.7,1.565,1.504,1.1437
11,24.7,1.563,1.498,1.151
11,24.7,1.553,1.499,1.151
11,24.7,1.565,1.505,1.1584
11,24.7,1.567,1.51,1.1559
11,24.7,1.559,1.506,1.1559
11,24.7,1.562,1.503,1.1364
11,24.7,1.565,1.489,1.1193
11,24.7,1.562,1.489,1.1193
11,24.7,1.563,1.488,1.1046
11,24.7,1.565,1.488,1.1168
11,24.7,1.566,1.493,1.1168
11,24.7,1.555,1.497,1.107
11,24.7,1.565,1.492,1.0997
11,24.7,1.557,1.488,1.1119
11,24.7,1.555,1.5,1.1119
11,24.7,1.565,1.499,1.1315
11,24.7,1.563,1.489,1.1315
11,24.7,1.559,1.495,1.1413
11,24.7,1.562,1.491,1.1608
11,24.7,1.558,1.493,1.1657
11,24.7,1.563,1.488,1.1657
11,24.7,1.558,1.489,1.173
11,24.7,1.559,1.488,1.1388
11,24.7,1.554,1.499,1.1388
11,24.7,1.553,1.498,1.1339
11,24.7,1.558,1.499,1.1315
11,24.7,1.557,1.5,1.1315
11,24.7,1.56,1.497,1.1339
11,24.7,1.559,1.499,1.1437
11,24.7,1.559,1.503,1.1486
11,24.7,1.559,1.501,1.1486
11,24.7,1.562,1.497,1.1413
11,24.7,1.559,1.503,1.1413
11,24.7,1.554,1.51,1.1413
11,24.7,1.561,1.51,1.1413
11,24.7,1.558,1.501,1.1413
11,24.7,1.555,1.502,1.1413
12,24.6,1.492,1.194,0
12,24.6,1.493,1.191,0
12,24.6,1.489,1.191,0
12,24.6,1.491,1.194,0
12,24.6,1.491,1.195,0
12,24.6,1.489,1.194,0
12,24.6,1.489,1.195,0
12,24.5,1.491,1.189,0
12,24.5,1.491,1.194,0
12,24.6,1.488,1.19,0
12,24.6,1.488,1.195,0
12,24.6,1.488,1.197,0
12,24.6,1.489,1.2,0
12,24.6,1.491,1.2,0
12,24.6,1.489,1.2,0
12,24.6,1.493,1.2,0
12,24.6,1.489,1.194,0
12,24.5,1.491,1.199,0
12,24.5,1.489,1.191,0
12,24.6,1.488,1.185,0
12,24.6,1.488,1.187,0
12,24.5,1.489,1.194,0
12,24.5,1.488,1.196,0
12,24.6,1.489,1.194,0
12,24.6,1.488,1.194,0
12,24.5,1.487,1.187,0
12,24.5,1.488,1.189,0
12,24.5,1.488,1.186,0
12,24.5,1.486,1.187,0
12,24.5,1.485,1.197,0
12,24.5,1.486,1.203,0
12,24.5,1.488,1.209,0
12,24.5,1.498,1.201,0
12,24.5,1.499,1.233,0.0929
12,24.5,1.502,1.231,0.0929
12,24.5,1.504,1.255,0.1173
12,24.5,1.505,1.261,0.1173
12,24.5,1.514,1.292,0.1369
12,24.5,1.509,1.303,0.1515
12,24.5,1.519,1.321,0.1808
12,24.5,1.519,1.325,0.1808
12,24.5,1.519,1.334,0.1931
12,24.5,1.52,1.334,0.1931
12,24.5,1.521,1.339,0.2053
12,24.5,1.525,1.335,0.2077
12,24.5,1.523,1.344,0.2224
12,24.5,1.523,1.344,0.2224
12,24.5,1.521,1.347,0.2322
12,24.5,1.527,1.353,0.2395
12,24.5,1.527,1.348,0.2395
12,24.5,1.526,1.349,0.2395
12,24.5,1.527,1.353,0.2395
12,24.5,1.526,1.344,0.2395
12,24.5,1.531,1.357,0.2395
12,24.5,1.533,1.341,0.237
12,24.5,1.527,1.345,0.2444
12,24.5,1.529,1.347,0.2444
